SIDEPIECE,5:00PM,5:45PM,cosmic_meadow
DIPLO B2B LEE FOSS,5:45PM,7:00PM,cosmic_meadow
KILL SCRIPT,7:00PM,7:49PM,kinetic_field
KLOUD,7:00PM,7:50PM,circuit_grounds
SAGE ARMSTRONG,7:00PM,8:00PM,cosmic_meadow
TRICE,7:00PM,8:30PM,quantum_valley
ILLUMINIZE,7:00PM,8:30PM,wasteland
ADIN,7:00PM,8:30PM,neon_garden
BELLECOUR,7:00PM,8:30PM,stereobloom
FALLEN B2B RICHTER,7:00PM,8:30PM,basspod
ELEPHANTE,7:49PM,8:49PM,kinetic_field
ARMNHMR,7:50PM,8:45PM,circuit_grounds
KAIVON,8:00PM,9:00PM,cosmic_meadow
ALESSANDRA RONCONE,8:30PM,9:30PM,quantum_valley
SOREN,8:30PM,9:30PM,wasteland
DILLINJA,8:30PM,9:30PM,basspod
BLOSSOM,8:30PM,9:45PM,stereobloom
AVISION,8:30PM,10:00PM,neon_garden
BENNY BENASSI,8:45PM,9:45PM,circuit_grounds
JASON ROSS,8:49PM,9:49PM,kinetic_field
PHANTOMS,9:00PM,10:00PM,cosmic_meadow
AHMED ROMEL,9:30PM,10:30PM,quantum_valley
SHEI,9:30PM,10:30PM,wasteland
DIESEL,9:30PM,10:30PM,basspod
OLIVER HELDENS,9:45PM,10:45PM,circuit_grounds
DEVAULT,9:45PM,11:00PM,stereobloom
OPENING CEREMONY,9:49PM,9:55PM,kinetic_field
ANDREW RAYEL,9:55PM,10:55PM,kinetic_field
AC SLATER,10:00PM,11:00PM,cosmic_meadow
EL BROWN,10:00PM,11:30PM,neon_garden
GRUM,10:30PM,11:30PM,quantum_valley
SAYMYNAME (HARDSTYLE SET),10:30PM,11:30PM,wasteland
LUCIl,10:30PM,11:30PM,basspod
SLANDER,10:45PM,12:00AM,circuit_grounds
CALM AFTER THE STORM,10:55PM,10:58PM,kinetic_field
ALAN WALKER,10:58PM,12:03AM,kinetic_field
DIPLO,11:00PM,12:00AM,cosmic_meadow
MATRODA,11:00PM,12:15AM,stereobloom
BT,11:30PM,12:30AM,quantum_valley
GAMMER HD,11:30PM,12:30AM,wasteland
WOOLI,11:30PM,12:30AM,basspod
ENRICO SANGIULIANO,11:30PM,1:00AM,neon_garden
GRYFFIN (DJ SED,12:00AM,1:10AM,cosmic_meadow
MARTIN GARRIX,12:00AM,1:30AM,circuit_grounds
YOUR INNER GROWTH,12:03AM,12:06AM,kinetic_field
TIESTO,12:06AM,1:31AM,kinetic_field
DR. FRESCH,12:15AM,1:30AM,stereobloom
VINI VICI,12:30AM,1:30AM,quantum_valley
SVDDEN DEATH PRESENTS VOYD,12:30AM,1:30AM,basspod
TONESHIFTERZ,12:30AM,1:45AM,wasteland
MACEO PLEX,1:00AM,2:30AM,neon_garden
LOUIS THE CHILD,1:25AM,2:35AM,cosmic_meadow
ILAN BLUESTONE,1:30AM,2:30AM,quantum_valley
EXCISION (DETOX SET),1:30AM,2:30AM,basspod
DEADMAU5,1:30AM,2:45AM,circuit_grounds
BIJOU,1:30AM,2:45AM,stereobloom
25Y CELEBRATION SHOW,1:31AM,1:36AM,kinetic_field
MAIN FIREWORKS,1:36AM,1:43AM,kinetic_field
DJ SNAKE,1:43AM,3:07AM,kinetic_field
GUNZ FOR HIRE,1:45AM,2:30AM,wasteland
FERRY CORSTEN,2:30AM,3:30AM,quantum_valley
JUNKIE KID,2:30AM,3:30AM,wasteland
GANJA WHITE NIGHT,2:30AM,3:30AM,basspod
CHARLOTTE DE WITTE,2:30AM,4:00AM,neon_garden
WHETHAN,2:40AM,3:40AM,cosmic_meadow
JAUZ,2:45AM,3:45AM,circuit_grounds
DUSTYCLOUD,2:45AM,4:00AM,stereobloom
THE FLOW OF LIFE,3:07AM,3:10AM,kinetic_field
KSHMR,3:10AM,4:15AM,kinetic_field
ABRAXIS,3:30AM,4:30AM,quantum_valley
ADARO,3:30AM,4:30AM,wasteland
PENDULUM TRINITY,3:30AM,4:30AM,basspod
DABIN,3:40AM,4:35AM,cosmic_meadow
1788-L,3:45AM,4:40AM,circuit_grounds
REINIER ZONNEVELD LIVE,4:00AM,5:30AM,neon_garden
TONY ROMERA,4:00AM,5:30AM,stereobloom
ACRYLIC RAINBOW,4:15AM,4:18AM,kinetic_field
VINTAGE CULTURE,4:18AM,5:30AM,kinetic_field
GANESH,4:30AM,5:30AM,quantum_valley
LIL TEXAS,4:30AM,5:30AM,wasteland
12TH PLANET (THROWBACK SET),4:30AM,5:30AM,basspod
GAMMER B2B K?D,4:35AM,5:30AM,cosmic_meadow
BLANKE,4:40AM,5:30AM,circuit_grounds
